ts_utc	rss_kib	status
2026-05-14T12:42:41Z	7352	State:	S (sleeping)
2026-05-14T12:42:46Z	163880	State:	S (sleeping)
2026-05-14T12:42:51Z	230136	State:	S (sleeping)
2026-05-14T12:42:56Z	230148	State:	S (sleeping)
2026-05-14T12:43:01Z	230172	State:	S (sleeping)
2026-05-14T12:43:06Z	230172	State:	S (sleeping)
2026-05-14T12:43:11Z	230180	State:	S (sleeping)
2026-05-14T12:43:16Z	230192	State:	S (sleeping)
2026-05-14T12:43:21Z	230192	State:	S (sleeping)
2026-05-14T12:43:26Z	230200	State:	S (sleeping)
2026-05-14T12:43:31Z	231384	State:	S (sleeping)
2026-05-14T12:43:36Z	231384	State:	S (sleeping)
2026-05-14T12:43:41Z	231392	State:	S (sleeping)
2026-05-14T12:43:46Z	231448	State:	S (sleeping)
2026-05-14T12:43:51Z	231448	State:	S (sleeping)
2026-05-14T12:43:56Z	231616	State:	S (sleeping)
2026-05-14T12:44:01Z	231616	State:	S (sleeping)
2026-05-14T12:44:06Z	231616	State:	S (sleeping)
2026-05-14T12:44:11Z	231620	State:	S (sleeping)
2026-05-14T12:44:16Z	231620	State:	S (sleeping)
2026-05-14T12:44:21Z	231620	State:	S (sleeping)
2026-05-14T12:44:26Z	231624	State:	S (sleeping)
2026-05-14T12:44:31Z	231628	State:	S (sleeping)
2026-05-14T12:44:36Z	231628	State:	S (sleeping)
2026-05-14T12:44:41Z	231632	State:	S (sleeping)
2026-05-14T12:44:46Z	231632	State:	S (sleeping)
2026-05-14T12:44:51Z	231632	State:	S (sleeping)
2026-05-14T12:44:56Z	231632	State:	S (sleeping)
2026-05-14T12:45:01Z	231632	State:	S (sleeping)
2026-05-14T12:45:06Z	231632	State:	S (sleeping)
2026-05-14T12:45:11Z	231636	State:	S (sleeping)
2026-05-14T12:45:16Z	231636	State:	S (sleeping)
2026-05-14T12:45:21Z	231636	State:	S (sleeping)
2026-05-14T12:45:26Z	231636	State:	S (sleeping)
2026-05-14T12:45:31Z	231636	State:	S (sleeping)
2026-05-14T12:45:36Z	231636	State:	S (sleeping)
2026-05-14T12:45:41Z	231636	State:	S (sleeping)
2026-05-14T12:45:46Z	231636	State:	S (sleeping)
2026-05-14T12:45:51Z	231636	State:	S (sleeping)
2026-05-14T12:45:56Z	231636	State:	S (sleeping)
2026-05-14T12:46:01Z	231636	State:	S (sleeping)
2026-05-14T12:46:06Z	231636	State:	S (sleeping)
2026-05-14T12:46:11Z	231652	State:	S (sleeping)
2026-05-14T12:46:16Z	231656	State:	S (sleeping)
2026-05-14T12:46:21Z	231656	State:	S (sleeping)
2026-05-14T12:46:26Z	231656	State:	S (sleeping)
2026-05-14T12:46:31Z	231656	State:	S (sleeping)
2026-05-14T12:46:36Z	231656	State:	S (sleeping)
2026-05-14T12:46:41Z	231656	State:	S (sleeping)
2026-05-14T12:46:46Z	233232	State:	S (sleeping)
2026-05-14T12:46:51Z	233232	State:	S (sleeping)
2026-05-14T12:46:56Z	233232	State:	S (sleeping)
2026-05-14T12:47:01Z	233232	State:	S (sleeping)
2026-05-14T12:47:06Z	233288	State:	S (sleeping)
2026-05-14T12:47:11Z	233288	State:	S (sleeping)
2026-05-14T12:47:16Z	233288	State:	S (sleeping)
2026-05-14T12:47:21Z	233288	State:	S (sleeping)
2026-05-14T12:47:26Z	233288	State:	S (sleeping)
2026-05-14T12:47:31Z	233288	State:	S (sleeping)
2026-05-14T12:47:36Z	233288	State:	S (sleeping)
2026-05-14T12:47:41Z	233288	State:	S (sleeping)
2026-05-14T12:47:46Z	233288	State:	S (sleeping)
2026-05-14T12:47:51Z	233288	State:	S (sleeping)
2026-05-14T12:47:56Z	233288	State:	S (sleeping)
2026-05-14T12:48:01Z	233288	State:	S (sleeping)
2026-05-14T12:48:06Z	233288	State:	S (sleeping)
2026-05-14T12:48:11Z	233288	State:	S (sleeping)
2026-05-14T12:48:16Z	233288	State:	S (sleeping)
2026-05-14T12:48:21Z	233288	State:	S (sleeping)
2026-05-14T12:48:26Z	233288	State:	S (sleeping)
2026-05-14T12:48:31Z	233288	State:	S (sleeping)
2026-05-14T12:48:36Z	233288	State:	S (sleeping)
2026-05-14T12:48:41Z	233292	State:	S (sleeping)
2026-05-14T12:48:46Z	233292	State:	S (sleeping)
2026-05-14T12:48:51Z	233292	State:	S (sleeping)
2026-05-14T12:48:56Z	233296	State:	S (sleeping)
2026-05-14T12:49:01Z	233296	State:	S (sleeping)
2026-05-14T12:49:06Z	233296	State:	S (sleeping)
2026-05-14T12:49:11Z	233296	State:	S (sleeping)
2026-05-14T12:49:16Z	233300	State:	S (sleeping)
2026-05-14T12:49:21Z	233300	State:	S (sleeping)
