utc	stage	pid	rss_kib	vsz_kib	etimes
2026-05-05T04:45:19Z	starting	86785	6264	1090116	0
2026-05-05T04:45:20Z	broader-parity	86785	6292	1090116	1
2026-05-05T04:45:21Z	broader-parity	86785	28580	1098224	2
2026-05-05T04:45:22Z	broader-parity	86785	77116	1098224	3
2026-05-05T04:45:23Z	broader-parity	86785	77308	1098224	4
2026-05-05T04:45:24Z	broader-parity	86785	77644	1098224	5
2026-05-05T04:45:25Z	broader-parity	86785	77820	1098224	6
2026-05-05T04:45:26Z	broader-parity	86785	79392	1163760	7
2026-05-05T04:45:27Z	broader-parity	86785	79520	1163760	8
2026-05-05T04:45:28Z	broader-parity	86785	79696	1163760	9
2026-05-05T04:45:29Z	broader-parity	86785	79872	1163760	10
2026-05-05T04:45:30Z	broader-parity	86785	80956	1163760	11
2026-05-05T04:45:31Z	broader-parity	86785	81084	1163760	12
2026-05-05T04:45:32Z	broader-parity	86785	81260	1163760	13
2026-05-05T04:45:33Z	broader-parity	86785	81436	1163760	14
2026-05-05T04:45:34Z	broader-parity	86785	81612	1163760	15
2026-05-05T04:45:35Z	broader-parity	86785	81748	1163760	16
2026-05-05T04:45:36Z	broader-parity	86785	81924	1163760	17
2026-05-05T04:45:37Z	broader-parity	86785	82100	1163760	18
2026-05-05T04:45:38Z	broader-parity	86785	82268	1163760	19
2026-05-05T04:45:39Z	broader-parity	86785	85220	1163760	20
2026-05-05T04:45:40Z	broader-parity	86785	80312	1158832	21
2026-05-05T04:45:41Z	broader-parity	86785	80312	1158832	22
2026-05-05T04:45:42Z	broader-parity	86785	80312	1158832	23
2026-05-05T04:45:43Z	broader-parity	86785	80312	1158832	24
2026-05-05T04:45:44Z	broader-parity	86785	80312	1158832	25
2026-05-05T04:45:45Z	broader-parity	86785	80520	1158832	26
2026-05-05T04:45:46Z	broader-parity	86785	80608	1158832	27
2026-05-05T04:45:47Z	broader-parity	86785	80716	1158832	28
2026-05-05T04:45:48Z	broader-parity	86785	81504	1158832	29
2026-05-05T04:45:49Z	broader-parity	86785	82012	1158832	30
2026-05-05T04:45:50Z	broader-parity	86785	82056	1158832	31
2026-05-05T04:45:51Z	broader-parity	86785	82092	1158832	32
2026-05-05T04:45:52Z	broader-parity	86785	82092	1158832	33
2026-05-05T04:45:53Z	broader-parity	86785	82092	1158832	34
2026-05-05T04:45:54Z	broader-parity	86785	82092	1158832	35
2026-05-05T04:45:55Z	broader-parity	86785	82092	1158832	36
2026-05-05T04:45:56Z	broader-parity	86785	82092	1158832	37
2026-05-05T04:45:57Z	broader-parity	86785	82092	1158832	38
2026-05-05T04:45:58Z	broader-parity	86785	82092	1158832	39
2026-05-05T04:45:59Z	broader-parity	86785	82092	1158832	40
2026-05-05T04:46:00Z	broader-parity	86785	82096	1158832	41
2026-05-05T04:46:01Z	broader-parity	86785	82096	1158832	42
2026-05-05T04:46:02Z	broader-parity	86785	82096	1158832	43
2026-05-05T04:46:03Z	broader-parity	86785	82096	1158832	44
